word,keyword_or_not
winner,1
story,1
presidential,1
government,1
economic damage,1
Cocody neighborhood,1
Union,1
foreign minister,1
commercial capital,1
broadcaster,1
Commandement,1
Golf Hotel,1
recognize,1
Washington,1
violence,1
President,1
percent,1
South African,1
General,1
statement Retreating,1
Dakarbased,1
control,1
State TV,1
Republican,1
billion,1
adviser,1
country,1
editor responsible,1
Ivory Coast,1
tried,1
today,1
Coast,1
houses,1
mission,1
second paragraph defection,1
people,1
Ouattara,1
Humanitarian,1
delay,1
home,1
per metric,1
mercenaries,1
contact,1
London,1
election winner Alassane Ouattara,1
assistant secretary,1
residence,1
interview,1
phone interview,1
Abidjan,1
gunfire,1
sky,1
police,1
head,1
sense,1
heavy,1
statement,1
town,1
administration,1
Palace,1
Internationale,1
risk,1
ultimatum,1
Bax,1
Laurent,1
Television,1
former colonial power,1
election defeat,1
spokesman,1
human,1
troops,1
smoke rose,1
interview broadcast,1
night,1
advance,1
International,0
Rebels,0
reporters,0
23 billion,0
power,0
Carl Bildt,0
Pretoriabased,0
dollar,0
avoid bloodshed,0
western towns,0
Ivorienne,0
refuge,0
Operations,0
jumped,0
Cocoa,0
nation,0
committed,0
Hotel,0
commercial,0
International Crisis,0
incumbent,0
immediately,0
peaceful,0
fraud,0
speculation,0
bloodshed,0
capital,0
Abandoned,0
Cocody,0
foreign,0
looting,0
imminent,0
executions,0
Alassane,0
Ivory,0
Eurobond,0
Ivoirian territory,0
residents,0
exports,0
former colonial power France,0
unconfirmed,0
Forces,0
telephone,0
entered Abidjan,0
homes,0
sought,0
abandoned,0
State,0
nations,0
Accra,0
night Carl Bildt Swedens,0
Carson,0
Seize,0
accountable,0
McLure,0
diplomat,0
UN,0
Franz,0
prime,0
Gbagbos,0
headquarters,0
Securite,0
Ivory Coast Rebels,0
Mr Gbagbo,0
doesnt,0
rights,0
Gbagbo,0
closure,0
Republican Forces,0
fwildbloombergnet,0
United,0
comments,0
Eurobond which,0
Ouattaras,0
Alassane Ouattara,0
several hundred,1
interest,1
perfumes,1
Talks,1
bolstered,1
family shareholders,1
International,1
Ambition,1
Intercorporate,1
later raised,1
designing,1
candidate,1
dozens,1
editor responsible,1
immediately return,1
vice,1
royalties,1
singer,1
Valuations Valuations,1
Company,1
couturier,1
defense,1
paragraph,1
house,1
reporter,1
liquidity,1
director,1
contact,1
millions,1
handbags,1
unidentified,1
attack,1
marked,1
expansion,1
founding family,1
French,1
business Branchini,1
spokeswoman,1
LVMH Hermes,1
knowledge,1
stake,1
buyers,1
designer,1
relationship,1
relinquished,1
percent,1
Vuitton,1
Valuations,1
Gaultier,1
replaced,1
pjarvisbloombergnet,1
JeanPaul Gaultier,1
Madonna,1
immediately,1
shareholders,1
Parisbased,1
Dumas,1
Luxury companies,1
International SCA,1
Mulier,1
comment,1
raised,1
Christophe Lemaire,1
starting,1
acquired,1
responsible,1
Kelly bags,1
Blond,1
Birkin,1
statement,1
focusing,1
controls,1
luxurygoods,1
potential,1
Gaultiers departure,1
editor,0
readytowear,0
luxurygoods maker,0
70 percent,0
year after,0
23 million,0
formal arrangement,0
percent holding,0
JeanPaul,0
French maker,0
Whitehouse,0
Armando,0
from several dozens,0
French couturier,0
holding,0
Paul,0
JeanLouis,0
April,0
JeanLouis Dumas,0
increasingly,0
silk,0
Celeste Perri David Risser To,0
rival acquired,0
seven years,0
founder,0
chief executive officer,0
worn,0
develop,0
vice president,0
trading,0
fifth,0
openings,0
Luxury,0
expression,0
company,0
15465,0
raise funds,0
Armorel Kenna,0
Bloomberg,0
ties,0
blood,0
London,0
arrangement,0
seven,0
LVMH Moet Hennessy Louis Vuitton SA,0
that began,0
stake French,0
return,0
added,0
1045,0
value,0
Gaultier perfumes,0
daily,0
1999,0
Paris Thomas Mulier,0
reported,0
Parisbased company,0
Paul Jarvis,0
president,0
calls,0
help,0
Gaultier Company,0
of Hermes,0
mandated,0
disclosed,0
Les Echos,0
options,0
officer,0
bags,0
was replaced by Christophe Lemaire,0
received,0
Les Echos report,0
study,0
citing,0
expression of interest,0
time,1
43,1
Azarenka,1
serve,1
career,1
lot,1
tournament,1
next,1
including,1
impressive,1
ranked,1
second,1
today,1
lobs,1
showed,1
missing,1
sixth career,1
very heavy and coming,1
21yearold,1
points,1
start,1
finals,1
range,1
Sony Ericsson Open,1
seeking,1
Maria Sharapova,1
the right,1
world,1
Sharapova,1
Russian,1
unforced,1
swing,1
victory,1
Victoria Azarenka,1
rankings,1
match,1
shots including some,1
ranked 13th,1
said Azarenka,1
great tournament,1
rhythm,1
top,1
reached,1
game,1
first tournament,1
I think,1
serves,1
found,1
Former,0
good,0
tactics,0
Maria Sharapova beaten,0
Azarenka's,0
Maria,0
Ericsson,0
unforced errors,0
fast,0
week,0
sixth,0
currently ranked,0
scrappy,0
equalling,0
errors gifting,0
second time,0
defeated,0
final,0
Sony Ericsson,0
three years,0
breaking Sharapova's,0
lift,0
likes,0
big,0
Victoria,0
win,0
Key,0
coming,0
right tactics,0
player,0
13th,0
21yearold was,0
impressive slices,0
better player,0
Sony,0
good range,0
Sharapova's,0
disappointing,0
64,0
world rankings,0
Key Biscayne,0
own,0
held,0
beaten,0
two serves,0
trying,0
breaking,0
inspired Victoria Azarenka,0
faltering,1
teams,1
inevitably,1
parry,1
difficult,1
ability,1
Smalling,1
introduced,1
flicked,1
wall,1
model,1
indication,1
raced,1
uncommon,1
unusual,1
avoided,1
wrestled,1
shaky,1
games,1
bounced,1
remove,1
utmost,1
wanted,1
presumably,1
starting,1
standing,1
second,1
clearing,1
shot,1
marginal,1
season,1
flatter,1
penalties,1
dubious,1
United 4 Rooney,1
Premier League,1
hattrick,1
pivotal 63rd,1
Rooney's,1
footballing talents,1
Sir Alex Ferguson's,1
West Ham's twogoal,1
TV camera,1
country possesses,1
Trailing,1
Ferguson,1
London club,1
belligerence,1
indefatigability,1
Wayne Rooney,1
The Manchester United striker,1
United's,1
West Ham,1
football,1
hattrick leaves title,0
jeopardy,0
heading,0
lax,0
title challenge,0
Giggs,0
conclusion,0
range,0
confidence,0
Valencia's,0
found,0
Piquionne,0
Ferguson's,0
not playing,0
edge,0
72 minutes,0
Ham,0
course,0
sheer belligerence,0
position,0
Vidic,0
bright,0
righthand,0
Frederic Piquionne,0
second yellow,0
inevitable,0
day,0
two penalties,0
abject surrender,0
